게임 이름,원가,할인가,사이트 URL,할인율,유저리뷰수,플랫폼 이름,이미지 URL,장르,연령 등급
Dead by Daylight,21500,8600,https://store.steampowered.com/app/381210/Dead_by_Daylight/,60.0,9914,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/381210/9f1e64f28a301f50bd6540be33a4f7fedb27b1dc/capsule_sm_120_alt_assets_2.jpg?t=1753818200,Action,전체 이용가
Grounded 2,34800,34800,https://store.steampowered.com/app/2661300/Grounded_2/,0.0,3012,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2661300/e7f3c89538d758760b7d14ed8d3704e596db2c64/capsule_sm_120.jpg?t=1753914927,"Action, Adventure, Early Access",전체 이용가
Ready or Not,53000,53000,https://store.steampowered.com/app/1144200/Ready_or_Not/,0.0,30759,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1144200/capsule_sm_120.jpg?t=1752563001,"Action, Adventure, Indie",전체 이용가
PEAK,8400,8400,https://store.steampowered.com/app/3527290/PEAK/,0.0,38103,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3527290/1844964d7a353e50eb3cc979ea922729d8c1b0ad/capsule_sm_120.jpg?t=1753856675,"Action, Adventure, Indie",전체 이용가
Mage Arena,3400,3400,https://store.steampowered.com/app/3716600/Mage_Arena/,0.0,3925,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3716600/54dd4bd8386d010d2d8997707c00b5369c0a2344/capsule_sm_120.jpg?t=1753574038,"Action, Early Access",전체 이용가
Tales of the Shire: A The Lord of The Rings™ Game,39500,35550,https://store.steampowered.com/app/2016460/Tales_of_the_Shire_A_The_Lord_of_The_Rings_Game/,9.0,651,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2016460/capsule_sm_120.jpg?t=1753804161,"Casual, Indie, RPG, Simulation",전체 이용가
Dead by Daylight: The Walking Dead,8500,8500,https://store.steampowered.com/app/3884020/Dead_by_Daylight_The_Walking_Dead/,0.0,434,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3884020/bf6279feee1a00192da1bb370eb617dc7c2adb12/capsule_sm_120.jpg?t=1753805324,Action,전체 이용가
Grounded 2: Founder’s Pack,10000,10000,https://store.steampowered.com/app/3788090/Grounded_2_Founders_Pack/,0.0,33,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3788090/9bdfe586087998bec44cf023efde790126d75871/capsule_sm_120.jpg?t=1753807905,"Action, Adventure, RPG",전체 이용가
RimWorld,37500,37500,https://store.steampowered.com/app/294100/RimWorld/,0.0,4171,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/294100/capsule_sm_120.jpg?t=1752247312,"Indie, Simulation, Strategy",15세 이용가
DOOM: The Dark Ages,79800,59850,https://store.steampowered.com/app/3017860/DOOM_The_Dark_Ages/,25.0,774,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3017860/4b39d554fb3b3a48ff02e2f05bba7186a58052ce/capsule_sm_120.jpg?t=1749758252,Action,전체 이용가
