게임 이름,할인 시작일,플랫폼 이름,할인율,원가,할인가
baldurs-gate-3,2025-07-11,Steam,0%,66000,66000
baldurs-gate-3,2025-07-04,GOG,0%,83435,83435
baldurs-gate-3,2025-06-27,Steam,20%,66000,52800
baldurs-gate-3,2025-06-18,GOG,20%,83435,66745
baldurs-gate-3,2025-05-27,Steam,0%,66000,66000
baldurs-gate-3,2025-05-20,Steam,20%,66000,52800
baldurs-gate-3,2025-04-22,Steam,0%,66000,66000
baldurs-gate-3,2025-04-22,GOG,0%,83435,83435
baldurs-gate-3,2025-04-15,GOG,20%,83435,66745
baldurs-gate-3,2025-04-08,Steam,20%,66000,52800
baldurs-gate-3,2025-04-03,GOG,0%,83435,83435
baldurs-gate-3,2025-03-21,Steam,0%,66000,66000
baldurs-gate-3,2025-03-19,GOG,20%,83435,66745
baldurs-gate-3,2025-03-14,Steam,20%,66000,52800
baldurs-gate-3,2025-02-18,Steam,0%,66000,66000
baldurs-gate-3,2025-02-11,Steam,20%,66000,52800
baldurs-gate-3,2025-01-03,GOG,0%,83435,83435
baldurs-gate-3,2025-01-03,Steam,0%,66000,66000
baldurs-gate-3,2024-12-20,Steam,20%,66000,52800
baldurs-gate-3,2024-12-20,GOG,20%,83435,66745
baldurs-gate-3,2024-12-08,Steam,0%,66000,66000
baldurs-gate-3,2024-12-07,GOG,0%,83435,83435
