게임 이름,할인 시작일,플랫폼 이름,할인율,원가,할인가
bridge-constructor-studio,2025-07-31,Dreamgame,0%,13500,13500
bridge-constructor-studio,2025-07-25,Epic Game Store,0%,13500,13500
bridge-constructor-studio,2025-07-24,AllYouPlay,0%,16676,16676
bridge-constructor-studio,2025-07-18,Fanatical,17%,16676,13839
bridge-constructor-studio,2025-07-18,Dreamgame,17%,13500,11205
bridge-constructor-studio,2025-07-18,Humble Store,0%,16676,16676
bridge-constructor-studio,2025-07-18,GreenManGaming,0%,13500,13500
bridge-constructor-studio,2025-07-18,Epic Game Store,17%,13500,11200
bridge-constructor-studio,2025-07-18,GamersGate,17%,16720,13875
bridge-constructor-studio,2025-07-18,GOG,17%,16676,13839
bridge-constructor-studio,2025-07-18,Steam,17%,13500,11200
