게임 이름,할인 시작일,플랫폼 이름,할인율,원가,할인가
dave-the-diver,2025-07-29,PlanetPlay,0%,24000,24000
dave-the-diver,2025-07-23,GameBillet,35%,27802,18011
dave-the-diver,2025-07-19,WinGameStore,10%,27802,25021
dave-the-diver,2025-07-19,AllYouPlay,0%,27802,27802
dave-the-diver,2025-07-19,Playsum,0%,27802,27802
dave-the-diver,2025-07-19,IndieGala Store,0%,27802,27802
dave-the-diver,2025-07-19,JoyBuggy,5%,27802,26412
dave-the-diver,2025-07-19,GameBillet,17%,27802,23046
dave-the-diver,2025-07-19,GamesPlanet DE,10%,31831,28647
dave-the-diver,2025-07-19,GamesPlanet US,10%,27802,25021
dave-the-diver,2025-07-19,GamesPlanet FR,10%,31831,28647
dave-the-diver,2025-07-19,GamesPlanet UK,10%,31347,28210
dave-the-diver,2025-07-18,GameBillet,56%,27802,12309
dave-the-diver,2025-07-18,GameBillet,46%,27802,15118
dave-the-diver,2025-07-16,WinGameStore,43%,27802,15981
dave-the-diver,2025-07-13,Playsum,51%,27802,13686
dave-the-diver,2025-07-13,GamersGate,0%,24000,24000
dave-the-diver,2025-07-11,Fanatical,27%,27802,20431
dave-the-diver,2025-07-11,Epic Game Store,0%,24000,24000
dave-the-diver,2025-07-11,AllYouPlay,40%,27802,16676
dave-the-diver,2025-07-11,Fanatical,0%,27802,27802
dave-the-diver,2025-07-11,Steam,0%,24000,24000
dave-the-diver,2025-07-09,IndieGala Store,56%,27802,12364
dave-the-diver,2025-07-09,Fanatical,53%,27802,13060
dave-the-diver,2025-07-07,Fanatical,55%,27802,12503
dave-the-diver,2025-07-06,Fanatical,0%,27802,27802
dave-the-diver,2025-07-02,AllYouPlay,48%,27802,14409
dave-the-diver,2025-07-01,GameBillet,56%,27802,12337
dave-the-diver,2025-06-30,GreenManGaming,0%,24000,24000
dave-the-diver,2025-06-29,WinGameStore,40%,27802,16676
dave-the-diver,2025-06-28,GameBillet,53%,27802,13032
dave-the-diver,2025-06-28,PlanetPlay,40%,24000,14400
dave-the-diver,2025-06-28,Playsum,48%,27802,14492
