게임 이름,할인 시작일,플랫폼 이름,할인 지속시간,할인율,원가,할인가,이전과 비교한 할인가격
doom-the-dark-ages,2025-07-31,Blizzard,,25%,79900,59925,-19975.0
doom-the-dark-ages,2025-07-31,Steam,,25%,79800,59850,-19950.0
doom-the-dark-ages,2025-07-31,Fanatical,,37%,97343,61321,-23505.0
doom-the-dark-ages,2025-07-30,GreenManGaming,,34%,79800,52800,-15100.0
doom-the-dark-ages,2025-07-30,Microsoft Store,,25%,79900,59925,-19975.0
doom-the-dark-ages,2025-07-30,GamesPlanet US,,31%,97343,66745,-20863.0
doom-the-dark-ages,2025-07-30,GamesPlanet DE,,31%,127171,87425,-27027.0
doom-the-dark-ages,2025-07-30,GamesPlanet FR,,31%,127171,87425,-27027.0
doom-the-dark-ages,2025-07-30,GamesPlanet UK,,31%,129133,88543,-27675.0
doom-the-dark-ages,2025-07-15,Fanatical,15 days,13%,97343,84826,-12517.0
doom-the-dark-ages,2025-07-15,Fanatical,59 minutes,0%,97343,97343,16550.0
doom-the-dark-ages,2025-06-28,AllYouPlay,,0%,97343,97343,10180.0
doom-the-dark-ages,2025-04-08,Fanatical,3 months,17%,97343,80793,-973.0
doom-the-dark-ages,2025-04-01,Blizzard,3 months,0%,79900,79900,NoData
doom-the-dark-ages,2025-03-18,AllYouPlay,3 months,10%,97343,87163,-306.0
doom-the-dark-ages,2025-02-19,GreenManGaming,5 months,15%,79800,67900,-11900.0
doom-the-dark-ages,2025-02-14,GreenManGaming,5 days,0%,79800,79800,NoData
doom-the-dark-ages,2025-01-24,AllYouPlay,52 days,10%,97343,87469,-9874.0
doom-the-dark-ages,2025-01-24,AllYouPlay,3 hours,0%,97343,97343,NoData
doom-the-dark-ages,2025-01-24,Humble Store,,0%,97343,97343,NoData
doom-the-dark-ages,2025-01-24,Microsoft Store,6 months,0%,79900,79900,NoData
doom-the-dark-ages,2025-01-24,Fanatical,2 months,16%,97343,81766,NoData
doom-the-dark-ages,2025-01-24,GamesPlanet DE,6 months,10%,127171,114452,NoData
doom-the-dark-ages,2025-01-24,GamesPlanet US,6 months,10%,97343,87608,NoData
doom-the-dark-ages,2025-01-24,GamesPlanet FR,6 months,10%,127171,114452,NoData
doom-the-dark-ages,2025-01-24,GamesPlanet UK,6 months,10%,129133,116218,NoData
doom-the-dark-ages,2025-01-24,Steam,6 months,0%,79800,79800,NoData
