게임 이름,할인 시작일,플랫폼 이름,할인율,원가,할인가
kingdom-come-deliverance-ii,2025-07-28,GamesPlanet DE,33%,95374,63577
kingdom-come-deliverance-ii,2025-07-28,GamesPlanet US,30%,83435,58401
kingdom-come-deliverance-ii,2025-07-28,GamesPlanet FR,33%,95374,63577
kingdom-come-deliverance-ii,2025-07-28,GamesPlanet UK,30%,92233,64557
kingdom-come-deliverance-ii,2025-07-27,GOG,0%,83435,83435
kingdom-come-deliverance-ii,2025-07-26,Steam,30%,60800,42560
kingdom-come-deliverance-ii,2025-07-16,GOG,20%,83435,66745
kingdom-come-deliverance-ii,2025-07-15,Fanatical,22%,83435,65076
kingdom-come-deliverance-ii,2025-07-15,Fanatical,0%,83435,83435
kingdom-come-deliverance-ii,2025-07-11,Steam,0%,60800,60800
kingdom-come-deliverance-ii,2025-07-10,GOG,0%,83435,83435
kingdom-come-deliverance-ii,2025-06-27,Steam,20%,60800,48640
kingdom-come-deliverance-ii,2025-06-26,AllYouPlay,12%,97580,85758
kingdom-come-deliverance-ii,2025-06-24,Steam,0%,60800,60800
kingdom-come-deliverance-ii,2025-06-20,Fanatical,22%,83435,65076
kingdom-come-deliverance-ii,2025-06-19,Fanatical,0%,83435,83435
kingdom-come-deliverance-ii,2025-06-18,GOG,15%,83435,70918
kingdom-come-deliverance-ii,2025-06-17,Steam,20%,60800,48640
kingdom-come-deliverance-ii,2025-06-16,GOG,0%,83435,83435
kingdom-come-deliverance-ii,2025-06-13,Epic Game Store,0%,60800,60800
kingdom-come-deliverance-ii,2025-06-05,GOG,10%,83435,75090
kingdom-come-deliverance-ii,2025-05-28,GamersGate,0%,82155,82155
kingdom-come-deliverance-ii,2025-05-26,AllYouPlay,12%,94951,83449
kingdom-come-deliverance-ii,2025-05-23,GOG,0%,83435,83435
kingdom-come-deliverance-ii,2025-05-16,Steam,0%,60800,60800
kingdom-come-deliverance-ii,2025-05-16,Epic Game Store,10%,60800,54720
kingdom-come-deliverance-ii,2025-05-15,GOG,10%,83435,75090
kingdom-come-deliverance-ii,2025-05-13,GamesPlanet US,10%,83435,75090
kingdom-come-deliverance-ii,2025-05-13,GamesPlanet UK,9%,92233,83930
kingdom-come-deliverance-ii,2025-05-13,GamesPlanet DE,10%,95374,85835
kingdom-come-deliverance-ii,2025-05-13,GamesPlanet FR,10%,95374,85835
kingdom-come-deliverance-ii,2025-05-13,AllYouPlay,12%,92656,81433
kingdom-come-deliverance-ii,2025-05-09,Steam,15%,60800,51680
