게임 이름,할인 시작일,플랫폼 이름,할인율,원가,할인가
moto-racer-4-deluxe-edition,2025-07-29,Steam,90%,31000,3100
moto-racer-4-deluxe-edition,2025-07-25,GamesPlanet FR,91%,31831,2771
moto-racer-4-deluxe-edition,2025-07-25,GamesPlanet DE,91%,31831,2771
moto-racer-4-deluxe-edition,2025-07-25,GamesPlanet US,91%,27802,2420
moto-racer-4-deluxe-edition,2025-07-25,GamesPlanet UK,91%,29502,2565
moto-racer-4-deluxe-edition,2025-07-11,Steam,0%,31000,31000
moto-racer-4-deluxe-edition,2025-06-27,Steam,90%,31000,3100
moto-racer-4-deluxe-edition,2025-06-17,Steam,0%,31000,31000
moto-racer-4-deluxe-edition,2025-06-16,GamesPlanet DE,10%,31831,28647
moto-racer-4-deluxe-edition,2025-06-16,GamesPlanet US,10%,27802,25021
moto-racer-4-deluxe-edition,2025-06-16,GamesPlanet FR,10%,31831,28647
moto-racer-4-deluxe-edition,2025-06-16,GamesPlanet UK,10%,29502,26550
moto-racer-4-deluxe-edition,2025-06-10,Steam,90%,31000,3100
moto-racer-4-deluxe-edition,2025-06-09,GamesPlanet US,91%,27802,2420
moto-racer-4-deluxe-edition,2025-06-09,GamesPlanet DE,91%,31831,2771
moto-racer-4-deluxe-edition,2025-06-09,GamesPlanet FR,91%,31831,2771
moto-racer-4-deluxe-edition,2025-06-09,GamesPlanet UK,91%,29502,2565
moto-racer-4-deluxe-edition,2025-05-29,Humble Store,0%,69527,69527
moto-racer-4-deluxe-edition,2025-05-27,GamersGate,0%,41071,41071
moto-racer-4-deluxe-edition,2025-05-10,GamersGate,0%,41998,41998
moto-racer-4-deluxe-edition,2025-05-10,Humble Store,90%,69527,6940
moto-racer-4-deluxe-edition,2025-05-06,GamersGate,0%,41126,41126
moto-racer-4-deluxe-edition,2025-04-22,Steam,0%,31000,31000
moto-racer-4-deluxe-edition,2025-04-15,GamersGate,0%,42632,42632
moto-racer-4-deluxe-edition,2025-04-15,Steam,90%,31000,3100
moto-racer-4-deluxe-edition,2025-04-14,GamesPlanet UK,10%,29502,26550
moto-racer-4-deluxe-edition,2025-04-14,GamesPlanet FR,10%,31831,28647
moto-racer-4-deluxe-edition,2025-04-14,GamesPlanet DE,10%,31831,28647
moto-racer-4-deluxe-edition,2025-04-14,GamesPlanet US,10%,27802,25021
moto-racer-4-deluxe-edition,2025-04-04,GamesPlanet FR,91%,31831,2771
moto-racer-4-deluxe-edition,2025-04-04,GamesPlanet UK,91%,29502,2565
moto-racer-4-deluxe-edition,2025-04-04,GamesPlanet US,91%,27802,2420
moto-racer-4-deluxe-edition,2025-04-04,GamesPlanet DE,91%,31831,2771
