게임 이름,할인 시작일,플랫폼 이름,할인 지속시간,할인율,원가,할인가,이전과 비교한 할인가격
rimworld,2025-07-26,Epic Game Store,,0%,37500,37500,7500
rimworld,2025-07-26,Humble Store,,0%,48665,48665,9736
rimworld,2025-07-25,GOG,,0%,48665,48665,9736
rimworld,2025-07-25,Steam,,0%,37500,37500,7500
rimworld,2025-07-24,Fanatical,,0%,48665,48665,13630
rimworld,2025-07-11,GOG,13 days,20%,48665,38929,-9736
rimworld,2025-07-11,Epic Game Store,14 days,20%,37500,30000,-7500
rimworld,2025-07-11,Fanatical,13 days,28%,48665,35035,-13630
rimworld,2025-07-11,Humble Store,14 days,20%,48665,38929,-9736
rimworld,2025-07-11,Fanatical,15 hours,0%,48665,48665,13630
rimworld,2025-07-10,GOG,1 day,0%,48665,48665,9736
rimworld,2025-06-27,Steam,27 days,20%,37500,30000,-7500
rimworld,2025-06-20,Fanatical,20 days,28%,48665,35035,-13630
rimworld,2025-06-18,GOG,21 days,20%,48665,38929,-9736
rimworld,2025-06-05,Fanatical,15 days,0%,48665,48665,13630
rimworld,2025-05-29,Humble Store,43 days,0%,48665,48665,9736
rimworld,2025-05-22,Epic Game Store,50 days,0%,37500,37500,7500
rimworld,2025-05-22,Steam,36 days,0%,37500,37500,7500
rimworld,2025-05-19,Fanatical,16 days,28%,48665,35035,-13630
rimworld,2025-05-15,Steam,6 days,20%,37500,30000,-7500
rimworld,2025-05-14,Epic Game Store,7 days,20%,37500,30000,-7500
rimworld,2025-05-10,Humble Store,19 days,20%,48665,38929,-9736
rimworld,2025-04-29,GOG,50 days,0%,48665,48665,9736
rimworld,2025-04-28,Fanatical,21 days,0%,48665,48665,14367
rimworld,2025-04-25,Humble Store,14 days,0%,48665,48665,9736
rimworld,2025-04-18,GOG,10 days,20%,48665,38929,-9736
rimworld,2025-04-18,Humble Store,7 days,20%,48665,38929,-9736
rimworld,2025-04-15,Fanatical,12 days,30%,48665,34298,-737
rimworld,2025-04-14,Fanatical,1 day,28%,48665,35035,-13630
rimworld,2025-04-10,Epic Game Store,34 days,0%,37500,37500,7500
rimworld,2025-04-08,Steam,37 days,0%,37500,37500,7500
rimworld,2025-04-03,GOG,15 days,0%,48665,48665,9736
rimworld,2025-03-28,Humble Store,20 days,0%,48665,48665,9736
