할인 시작 날짜,플랫폼 이름,할인 지속시간,할인율,원가,할인가,이전과 비교한 할인가격
2025-07-31,AllYouPlay,,0%,83552,83552,75195
2025-07-31,GameBillet,,17%,83552,69318,-14234
2025-07-31,IndieGala Store,,0%,83552,83552,75209
2025-07-31,GameBillet,20 minutes,0%,83552,83552,76115
2025-07-31,Humble Store,,0%,83552,83552,75209
2025-07-30,Noctre,,0%,83552,83552,75265
2025-07-27,GamersGate,,0%,65000,65000,58500
2025-07-26,GreenManGaming,,95%,65000,3000,-2900
2025-07-26,GreenManGaming,few seconds,91%,65000,5900,-59100
2025-07-25,GamersGate,1 day,90%,65000,6500,-58500
2025-07-25,GamersGate,few seconds,0%,65000,65000,58500
2025-07-25,Humble Store,5 days,90%,83552,8343,4179
2025-07-24,GameBillet,7 days,91%,83552,7437,-920
2025-07-23,IndieGala Store,7 days,90%,83552,8343,4179
2025-07-23,GameBillet,15 hours,90%,83552,8357,-60961
2025-07-23,GamersGate,1 day,90%,65000,6500,-58500
2025-07-23,Noctre,7 days,90%,83552,8287,-75265
2025-07-23,AllYouPlay,7 days,90%,83552,8357,-75195
2025-07-19,GreenManGaming,6 days,0%,65000,65000,59100
2025-07-18,2game,,0%,65000,65000,61750
2025-07-18,WinGameStore,,95%,83552,3872,-2103
2025-07-18,MacGameStore,,95%,83552,3872,-292
2025-07-18,WinGameStore,1 hour,93%,83552,5975,2437
2025-07-18,Humble Store,6 days,95%,83552,4164,-79388
2025-07-18,GamesPlanet US,,10%,83552,75195,66852
2025-07-18,Epic Game Store,,90%,65000,6500,-58500
2025-07-17,MacGameStore,11 hours,95%,83552,4164,-79388
2025-07-17,Dreamgame,,0%,65000,65000,58500
2025-07-17,Microsoft Store,,80%,34000,6800,-27200
2025-07-14,GreenManGaming,4 days,91%,65000,5900,-59100
2025-07-13,AllYouPlay,10 days,0%,83552,83552,79374
2025-07-13,GameBillet,10 days,17%,83552,69318,62034
2025-07-13,Fanatical,,0%,83552,83552,79388
2025-07-13,GamersGate,10 days,0%,65000,65000,62010
2025-07-13,Noctre,10 days,0%,83552,83552,79402
2025-07-11,GreenManGaming,3 days,0%,65000,65000,62000
2025-07-11,Steam,,0%,65000,65000,61750
2025-07-08,Dreamgame,8 days,90%,65000,6500,-58500
2025-07-08,Dreamgame,3 hours,0%,65000,65000,58500
