게임 이름,할인 시작일,플랫폼 이름,할인 지속시간,할인율,원가,할인가,이전과 비교한 할인가격
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-31,PlanetPlay,,10%,47879,43091,7541.0
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-31,GreenManGaming,,15%,39500,33500,-1100.0
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,GameBillet,,24%,48665,37093,-2865.0
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,GameBillet,20 minutes,18%,48665,39958,2781.0
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,IndieGala Store,,10%,48665,43797,NoData
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,JoyBuggy,,10%,48665,43560,NoData
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,Gamer Thor,,0%,39500,39500,NoData
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,2game,,14%,39500,34128,NoData
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,GameBillet,16 hours,24%,48665,37177,-2809.0
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,GameBillet,39 minutes,18%,48665,39986,2782.0
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,GameBillet,1 hour,24%,48665,37204,-2198.0
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,PlanetPlay,1 day,10%,39500,35550,NoData
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,Nuuvem,,10%,48665,43797,NoData
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,WinGameStore,,12%,48665,42962,NoData
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,GamersGate,,10%,39500,35550,-3950.0
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,GameBillet,1 hour,19%,48665,39402,-4395.0
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,Playsum,,10%,48665,43797,-4868.0
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,GamersGate,48 minutes,0%,39500,39500,NoData
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,GreenManGaming,1 day,12%,39500,34600,-4900.0
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,GameBillet,42 minutes,10%,48665,43797,NoData
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-30,Steam,,10%,39500,35550,NoData
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-29,Playsum,3 hours,0%,48665,48665,NoData
tales-of-the-shire-a-the-lord-of-the-rings-game,2025-07-28,GreenManGaming,1 day,0%,39500,39500,NoData
