게임 이름,할인 시작일,플랫폼 이름,할인율,원가,할인가
warhammer-40000-space-marine-2,2025-07-25,GamesPlanet FR,50%,95374,47679
warhammer-40000-space-marine-2,2025-07-25,GamesPlanet US,50%,83435,41711
warhammer-40000-space-marine-2,2025-07-25,GamesPlanet UK,50%,101458,50720
warhammer-40000-space-marine-2,2025-07-25,GamesPlanet DE,50%,95374,47679
warhammer-40000-space-marine-2,2025-07-25,Humble Store,45%,83435,45883
warhammer-40000-space-marine-2,2025-07-22,Steam,45%,69800,38390
warhammer-40000-space-marine-2,2025-07-21,JoyBuggy,5%,83435,79263
warhammer-40000-space-marine-2,2025-07-21,Noctre,0%,83435,83435
warhammer-40000-space-marine-2,2025-07-18,GameBillet,17%,83435,69221
warhammer-40000-space-marine-2,2025-07-18,GameBillet,0%,83435,83435
warhammer-40000-space-marine-2,2025-07-18,GamersGate,0%,83457,83457
warhammer-40000-space-marine-2,2025-07-17,Noctre,36%,83435,53394
warhammer-40000-space-marine-2,2025-07-17,JoyBuggy,36%,83435,53811
warhammer-40000-space-marine-2,2025-07-13,JoyBuggy,5%,83435,79263
warhammer-40000-space-marine-2,2025-07-13,Noctre,0%,83435,83435
warhammer-40000-space-marine-2,2025-07-11,Steam,0%,69800,69800
warhammer-40000-space-marine-2,2025-07-11,GameBillet,44%,83435,47107
warhammer-40000-space-marine-2,2025-07-11,GameBillet,40%,83435,50223
warhammer-40000-space-marine-2,2025-07-10,GameBillet,43%,83435,47441
warhammer-40000-space-marine-2,2025-07-01,Humble Store,0%,83435,83435
warhammer-40000-space-marine-2,2025-06-30,GamersGate,0%,81635,81635
warhammer-40000-space-marine-2,2025-06-28,Noctre,31%,83435,57566
warhammer-40000-space-marine-2,2025-06-28,JoyBuggy,31%,83435,57983
warhammer-40000-space-marine-2,2025-06-27,Steam,40%,69800,41880
warhammer-40000-space-marine-2,2025-06-27,GameBillet,45%,83435,46078
warhammer-40000-space-marine-2,2025-06-27,GameBillet,35%,83435,54228
warhammer-40000-space-marine-2,2025-06-23,GamersGate,36%,81991,52797
warhammer-40000-space-marine-2,2025-06-19,Humble Store,40%,83435,50056
warhammer-40000-space-marine-2,2025-06-16,GamesPlanet FR,10%,95374,85835
warhammer-40000-space-marine-2,2025-06-16,GamesPlanet UK,10%,101458,91310
warhammer-40000-space-marine-2,2025-06-16,GamersGate,0%,82201,82201
warhammer-40000-space-marine-2,2025-06-16,GamesPlanet US,10%,83435,75090
warhammer-40000-space-marine-2,2025-06-16,GamesPlanet DE,10%,95374,85835
