게임 이름,할인 시작일,플랫폼 이름,할인율,원가,할인가
xcom-2,2025-07-31,AllYouPlay,0%,83435,83435
xcom-2,2025-07-31,GameBillet,17%,83435,69221
xcom-2,2025-07-31,IndieGala Store,0%,83435,83435
xcom-2,2025-07-31,GameBillet,0%,83435,83435
xcom-2,2025-07-31,GamersGate,0%,83040,83040
xcom-2,2025-07-31,Humble Store,0%,83435,83435
xcom-2,2025-07-30,Noctre,0%,83435,83435
xcom-2,2025-07-26,GamersGate,95%,82862,4144
xcom-2,2025-07-26,GreenManGaming,95%,65000,3000
xcom-2,2025-07-25,Steam,95%,62300,3110
xcom-2,2025-07-24,GameBillet,96%,83435,3713
xcom-2,2025-07-23,IndieGala Store,95%,83435,4159
xcom-2,2025-07-23,GameBillet,95%,83435,4172
xcom-2,2025-07-23,GamersGate,95%,83152,4158
xcom-2,2025-07-23,Noctre,95%,83435,4145
xcom-2,2025-07-23,AllYouPlay,95%,83435,4172
xcom-2,2025-07-19,GreenManGaming,0%,65000,65000
xcom-2,2025-07-18,2game,0%,62300,62300
xcom-2,2025-07-18,WinGameStore,12%,83435,73700
xcom-2,2025-07-18,GamesPlanet US,10%,83435,75090
xcom-2,2025-07-18,Humble Store,95%,83435,4159
xcom-2,2025-07-18,Epic Game Store,95%,62300,3110
xcom-2,2025-07-14,GreenManGaming,95%,65000,3000
xcom-2,2025-07-13,AllYouPlay,0%,83435,83435
xcom-2,2025-07-13,GameBillet,17%,83435,69221
xcom-2,2025-07-13,GamersGate,0%,82486,82486
xcom-2,2025-07-13,Noctre,0%,83435,83435
xcom-2,2025-07-11,GreenManGaming,0%,65000,65000
xcom-2,2025-07-11,Steam,0%,62300,62300
xcom-2,2025-06-28,GameBillet,96%,83435,3602
xcom-2,2025-06-28,Noctre,95%,83435,4145
xcom-2,2025-06-28,GamersGate,95%,81635,4082
xcom-2,2025-06-28,AllYouPlay,95%,83435,4172
