게임 이름,원가,할인가,사이트 URL,할인율,유저리뷰수,플랫폼 이름,이미지 URL,장르,연령 등급
Dead by Daylight,$19.99,$8.00,https://www.greenmangaming.com/games/dead-by-daylight-pc/,-60,0,Green Man Gaming,https://images.greenmangaming.com/6ef373f611cc4300a83c3d38e89f8e9e/308a46fbbbec4ffb83f621907c9cb5ff.jpg,Action,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Ready or Not: LSPD Edition,$77.96,$60.81,https://www.greenmangaming.com/games/ready-or-not-lspd-edition-pc/,-22,0,Green Man Gaming,https://images.greenmangaming.com/cb43a2ed5ecc4eb69bba750a21a634f7/6411aa98c68d4032808c8edb85ab225f.jpg,,
Golf Peaks,$4.99,$4.99,https://www.greenmangaming.com/games/golf-peaks-pc/,0,0,Green Man Gaming,https://images.greenmangaming.com/fe528cb773a941a8b8c408ec6018ec48/2311c40139f4461582c624cc8eefb930.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Tales of the Shire: A The Lord of The Rings™ Game,$34.99,$29.60,https://www.greenmangaming.com/games/tales-of-the-shire-a-the-lord-of-the-rings-game-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/e28df7aba01943c7a7f3ecfbc7a91c52/2cc1612de39a4601a7535e6f5b98a5dd.jpg,"Casual, Indie, RPG, Simulation",
Dead by Daylight: The Walking Dead,,,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,Action,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
DOOM: The Dark Ages,$69.99,$44.62,https://www.greenmangaming.com/games/doom-the-dark-ages-pc/,-36,0,Green Man Gaming,https://images.greenmangaming.com/6707e1812d3442f5a5a9128eb9abca38/3a3e0837e4b0497cb3e841eec62b67eb.jpg,Action,
Kingdom Come: Deliverance II,$59.99,$53.99,https://www.greenmangaming.com/games/kingdom-come-deliverance-ii-pc/,-10,0,Green Man Gaming,https://images.greenmangaming.com/86c6b6b846ce4727b52a69ae0fa0ad64/911f854dd880464b88e3e03f772d11c5.jpg,"Action, Adventure, RPG",
ELDEN RING NIGHTREIGN,$39.99,$35.99,https://www.greenmangaming.com/games/elden-ring-nightreign-pc/,-10,0,Green Man Gaming,https://images.greenmangaming.com/d776e26531bf42f0977ee24369b5073e/2e2861149c444df3a4c3906f21375fe3.jpg,"Action, RPG",19
"Warhammer 40,000: Space Marine 2",$59.99,$31.67,https://www.greenmangaming.com/games/warhammer-40000-space-marine-2-pc/,-47,0,Green Man Gaming,https://images.greenmangaming.com/a8a8cdfc3bc54fa699991a957aef58f5/034d20935ee5447fb9de17d1587a6f54.jpg,"Action, Adventure, RPG",19
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Disaster Report 4: Summer Memories,$59.99,$15.00,https://www.greenmangaming.com/games/disaster-report-4-summer-memories-pc/,-75,0,Green Man Gaming,https://images.greenmangaming.com/e185f13a844e4e7bab39cf7abc56d0ac/b56d89bb539446008832a3111cce2cb6.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Borderlands 4 Super Deluxe Edition,$129.99,$129.99,https://www.greenmangaming.com/games/borderlands-4-super-deluxe-edition-pc/,0,0,Green Man Gaming,https://images.greenmangaming.com/ff5f4c8bcdb14c359dced21a8e155113/67623141dae147a0be966a2b2ecb60c4.jpg,"Action, Adventure",19세 이용가
ELDEN RING NIGHTREIGN,$39.99,$35.99,https://www.greenmangaming.com/games/elden-ring-nightreign-pc/,-10,0,Green Man Gaming,https://images.greenmangaming.com/d776e26531bf42f0977ee24369b5073e/2e2861149c444df3a4c3906f21375fe3.jpg,"Action, RPG",19
Grand Theft Auto V Enhanced,$29.99,$13.50,https://www.greenmangaming.com/games/grand-theft-auto-v-enhanced-pc/,-55,0,Green Man Gaming,https://images.greenmangaming.com/70e3b3a9b50343e08cb070f50248584e/e1122199253f4660812bc9583fa76ac3.jpg,"Action, Adventure, Racing",
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Wildcat Gun Machine,$14.99,$1.50,https://www.greenmangaming.com/games/wildcat-gun-machine-pc/,-90,0,Green Man Gaming,https://images.greenmangaming.com/833212f1d5004a0f837d490d3b90769a/c28d3d85e695461cb7506541c896f26b.jpg,"Shooter, FPS",12세 이용가
Abiotic Factor,$34.99,$29.74,https://www.greenmangaming.com/games/abiotic-factor-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/de1d9ba5fde1491696dbf6815ce27c5c/6e5f938b12494ea982a8d97f5109a29b.jpg,"Action, Adventure, RPG, Simulation",
Farworld Pioneers,$14.99,$14.99,https://www.greenmangaming.com/games/farworld-pioneers-pc/,0,0,Green Man Gaming,https://images.greenmangaming.com/17746038b537468ebc39a1600121dec7/00e5d08abc9f467cb473960cd4a902ce.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2 - Deluxe Edition,$69.99,$61.59,https://www.greenmangaming.com/games/demon-slayer-kimetsu-no-yaiba-the-hinokami-chronicles-2-deluxe-edition-pc/,-12,0,Green Man Gaming,https://images.greenmangaming.com/e8656221611041aab6cec4ad59c021eb/1b33b8a82c3e41b79658c98485fc21a5.jpg,,
Destiny 2: Year of Prophecy Ultimate Edition,$99.99,$84.99,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,-15,0,Green Man Gaming,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,,
