이름,링크,이미지,할인률,할인가,정가,DRM
Destiny 2: Year of Prophecy Ultimate Edition,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-ultimate-edition-pc/,https://images.greenmangaming.com/6397b50f9c134053b0c58a7ee41d6993/46622f2ce6cc4cd9b4252ade2cc222c4.jpg,-12%,"₩96,800","₩109,900",Steam
Stellar Blade™ Complete Edition,https://www.greenmangaming.com/games/stellar-blade-complete-edition-pc/,https://images.greenmangaming.com/22cb949d207b4480a62fef5425d9e24e/cba812b26c5b465486253d96c86290d1.jpg,0%,"₩83,800","₩83,800",Steam
Clair Obscur: Expedition 33,https://www.greenmangaming.com/games/clair-obscur-expedition-33-pc/,https://images.greenmangaming.com/9c513fcc26e64f33baaa9594705c33a5/188d307dec724cdc81e68fa9e30417ff.jpg,-15%,"₩46,600","₩54,800",Steam
Clair Obscur: Expedition 33 Deluxe Edition,https://www.greenmangaming.com/games/clair-obscur-expedition-33-deluxe-edition-pc/,https://images.greenmangaming.com/d782a9163282465f8f42f4eda3e9a717/9e29b4b9ea424bb5a8ccfcb355f04d46.jpg,-15%,"₩55,900","₩65,700",Steam
DOOM: The Dark Ages,https://www.greenmangaming.com/games/doom-the-dark-ages-pc/,https://images.greenmangaming.com/6707e1812d3442f5a5a9128eb9abca38/3a3e0837e4b0497cb3e841eec62b67eb.jpg,-34%,"₩52,800","₩79,800",Steam
Destiny 2: Year of Prophecy,https://www.greenmangaming.com/games/destiny-2-year-of-prophecy-pc/,https://images.greenmangaming.com/738d4256cbe643ceb467615f4667d289/cd0d09baef3c4e49a042ae54d97ad083.jpg,-12%,"₩78,300","₩88,900",Steam
NBA 2K25,https://www.greenmangaming.com/games/nba-2k25-pc/,https://images.greenmangaming.com/fe0f183c5b9f437393fd6ad3dc3746a9/d6ebb93acf044bcd9520136c5427f45b.jpg,-87%,"₩10,600","₩83,000",Steam
DOOM: The Dark Ages Premium Edition,https://www.greenmangaming.com/games/doom-the-dark-ages-premium-edition-pc/,https://images.greenmangaming.com/a4eaa6c00b18409eaf2904ec642208e3/795c05eb5485401fa03398b5aa21714f.jpg,-34%,"₩75,300","₩114,000",Steam
Destiny 2: The Edge of Fate,https://www.greenmangaming.com/games/destiny-2-the-edge-of-fate-pc/,https://images.greenmangaming.com/cd9875e1a4aa4dbd8b3d4254799039be/70145d4e7694474cb4bef941cc89ec1c.jpg,-12%,"₩39,200","₩44,500",Steam
Stellar Blade™,https://www.greenmangaming.com/games/stellar-blade-pc/,https://images.greenmangaming.com/06d546b09ad945cfaae3e5dc9ddb24c3/00b622df21c44f8089860a35ccb30078.jpg,0%,"₩62,800","₩62,800",Steam
