게임 이름,원가,할인가,사이트 URL,할인율,유저리뷰수,유저댓글,플랫폼 이름,이미지 URL,장르,연령 등급
Grounded 2,"₩ 34,800","₩ 10,000",https://store.steampowered.com/app/2661300/Grounded_2/,71%,1703,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2661300/e7f3c89538d758760b7d14ed8d3704e596db2c64/capsule_sm_120.jpg?t=1753821224,"Action, Adventure, Early Access",정보 없음
Counter-Strike 2,Free,Free,https://store.steampowered.com/app/730/CounterStrike_2/,0%,73903,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/730/capsule_sm_120.jpg?t=1749053861,"Action, Free To Play",정보 없음
Dead by Daylight,"₩ 21,500","₩ 215,640",https://store.steampowered.com/app/381210/Dead_by_Daylight/,-902%,9942,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/381210/9f1e64f28a301f50bd6540be33a4f7fedb27b1dc/capsule_sm_120_alt_assets_2.jpg?t=1753818200,Action,정보 없음
Steam Deck,정보 없음,정보 없음,https://store.steampowered.com/app/1675200/Steam_Deck/,0%,정보 없음,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1675200/capsule_sm_120.jpg?t=1699990406,정보 없음,정보 없음
PUBG: BATTLEGROUNDS,Free,Free,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS/,0%,16284,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/578080/14f42ab797699a9c9f137fda66582d8776da4330/capsule_sm_120.jpg?t=1746590920,"Action, Adventure, Massively Multiplayer, Free To Play",정보 없음
Tales of the Shire: A The Lord of The Rings™ Game,"₩ 39,500","₩ 12,000",https://store.steampowered.com/app/2016460/Tales_of_the_Shire_A_The_Lord_of_The_Rings_Game/,69%,388,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2016460/capsule_sm_120.jpg?t=1753804161,"Casual, Indie, RPG, Simulation",정보 없음
Dead by Daylight: The Walking Dead,"₩ 8,500","₩ 8,500",https://store.steampowered.com/app/3884020/Dead_by_Daylight_The_Walking_Dead/,0%,352,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3884020/bf6279feee1a00192da1bb370eb617dc7c2adb12/capsule_sm_120.jpg?t=1753805324,Action,정보 없음
Once Human,Free,Free,https://store.steampowered.com/app/2139460/Once_Human/,0%,7741,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2139460/cc8d3737ca2fb11bcea6b2a6175393551cdb7a76/capsule_sm_120.jpg?t=1753837188,"Action, Adventure, RPG, Simulation, Strategy, Free To Play",정보 없음
Grounded 2: Founder’s Pack,"₩ 10,000","₩ 44,800",https://store.steampowered.com/app/3788090/Grounded_2_Founders_Pack/,-348%,26,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3788090/9bdfe586087998bec44cf023efde790126d75871/capsule_sm_120.jpg?t=1753807905,"Action, Adventure, RPG",정보 없음
PEAK,"₩ 8,400","₩ 8,400",https://store.steampowered.com/app/3527290/PEAK/,0%,38848,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3527290/1844964d7a353e50eb3cc979ea922729d8c1b0ad/capsule_sm_120.jpg?t=1753856675,"Action, Adventure, Indie",정보 없음
Mage Arena,"₩ 3,400","₩ 3,400",https://store.steampowered.com/app/3716600/Mage_Arena/,0%,3294,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3716600/54dd4bd8386d010d2d8997707c00b5369c0a2344/capsule_sm_120.jpg?t=1753574038,"Action, Early Access",정보 없음
Ready or Not,"₩ 53,000","₩ 34,520",https://store.steampowered.com/app/1144200/Ready_or_Not/,34%,31277,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1144200/capsule_sm_120.jpg?t=1752563001,"Action, Adventure, Indie",정보 없음
Marvel Rivals,Free,Free,https://store.steampowered.com/app/2767030/Marvel_Rivals/,0%,10153,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2767030/c984653538cfda1d1b195bd396b58936c2c65ae7/capsule_sm_120.jpg?t=1752231379,"Action, Free To Play",정보 없음
Warframe,정보 없음,정보 없음,https://store.steampowered.com/app/230410/Warframe/,0%,정보 없음,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/230410/32cfd7990963771dfe7d3a9f6990b1bbc7bcf3f8/capsule_sm_120.jpg?t=1753110568,정보 없음,정보 없음
Apex Legends™,Free,Free,https://store.steampowered.com/app/1172470/Apex_Legends/,0%,6086,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1172470/8d77e0d1ebca6d389b6330cf408936eb93484aee/capsule_sm_120.jpg?t=1749122685,"Action, Adventure, Free To Play",정보 없음
Destiny 2,Free,Free,https://store.steampowered.com/app/1085660/Destiny_2/,0%,4844,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1085660/capsule_sm_120.jpg?t=1753830262,"Action, Adventure, Free To Play",정보 없음
Team Fortress 2,Free,Free,https://store.steampowered.com/app/440/Team_Fortress_2/,0%,7878,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/440/capsule_sm_120.jpg?t=1745368581,"Action, Free To Play",정보 없음
Magic: The Gathering Arena,Free,Free,https://store.steampowered.com/app/2141910/Magic_The_Gathering_Arena/,0%,1001,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2141910/capsule_sm_120.jpg?t=1749570015,"Strategy, Free To Play",정보 없음
The Sims™ 4,Free,Free,https://store.steampowered.com/app/1222670/The_Sims_4/,0%,2917,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1222670/capsule_sm_120.jpg?t=1752166846,"Adventure, Casual, Simulation, Free To Play",정보 없음
Delta Force,정보 없음,정보 없음,https://store.steampowered.com/app/2507950/Delta_Force/,0%,정보 없음,정보 없음,Steam,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2507950/79b44f29ee15bbf7cd90568eecd83d2206fd49b9/capsule_sm_120_alt_assets_4.jpg?t=1753340669,정보 없음,정보 없음
