게임 이름,원가,할인가,사이트 URL,할인율,유저리뷰수,플랫폼 이름,이미지 URL,장르,연령 등급
Dead by Daylight,"₩ 21,500","₩ 8,600",https://store.steampowered.com/app/381210/Dead_by_Daylight/,60%,9914,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/381210/9f1e64f28a301f50bd6540be33a4f7fedb27b1dc/capsule_sm_120_alt_assets_2.jpg?t=1753818200,Action,정보 없음
Grounded 2,"₩ 34,800","₩ 34,800",https://store.steampowered.com/app/2661300/Grounded_2/,0%,3012,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2661300/e7f3c89538d758760b7d14ed8d3704e596db2c64/capsule_sm_120.jpg?t=1753914927,"Action, Adventure, Early Access",정보 없음
Ready or Not,"₩ 53,000","₩ 53,000",https://store.steampowered.com/app/1144200/Ready_or_Not/,0%,30759,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1144200/capsule_sm_120.jpg?t=1752563001,"Action, Adventure, Indie",정보 없음
PEAK,"₩ 8,400","₩ 8,400",https://store.steampowered.com/app/3527290/PEAK/,0%,38103,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3527290/1844964d7a353e50eb3cc979ea922729d8c1b0ad/capsule_sm_120.jpg?t=1753856675,"Action, Adventure, Indie",정보 없음
Mage Arena,"₩ 3,400","₩ 3,400",https://store.steampowered.com/app/3716600/Mage_Arena/,0%,3925,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3716600/54dd4bd8386d010d2d8997707c00b5369c0a2344/capsule_sm_120.jpg?t=1753574038,"Action, Early Access",정보 없음
Tales of the Shire: A The Lord of The Rings™ Game,"₩ 39,500","₩ 35,550",https://store.steampowered.com/app/2016460/Tales_of_the_Shire_A_The_Lord_of_The_Rings_Game/,9%,651,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2016460/capsule_sm_120.jpg?t=1753804161,"Casual, Indie, RPG, Simulation",정보 없음
Dead by Daylight: The Walking Dead,"₩ 8,500","₩ 8,500",https://store.steampowered.com/app/3884020/Dead_by_Daylight_The_Walking_Dead/,0%,434,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3884020/bf6279feee1a00192da1bb370eb617dc7c2adb12/capsule_sm_120.jpg?t=1753805324,Action,정보 없음
Grounded 2: Founder’s Pack,"₩ 10,000","₩ 10,000",https://store.steampowered.com/app/3788090/Grounded_2_Founders_Pack/,0%,33,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3788090/9bdfe586087998bec44cf023efde790126d75871/capsule_sm_120.jpg?t=1753807905,"Action, Adventure, RPG",정보 없음
RimWorld,"₩ 37,500","₩ 37,500",https://store.steampowered.com/app/294100/RimWorld/,0%,4171,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/294100/capsule_sm_120.jpg?t=1752247312,"Indie, Simulation, Strategy",15
DOOM: The Dark Ages,"₩ 79,800","₩ 59,850",https://store.steampowered.com/app/3017860/DOOM_The_Dark_Ages/,25%,774,Steam,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3017860/4b39d554fb3b3a48ff02e2f05bba7186a58052ce/capsule_sm_120.jpg?t=1749758252,Action,정보 없음
