게임 이름,플랫폼 이름,이미지,원가,할인율,할인가,장르,연령 등급,유저 평점,유저 리뷰,사이트 URL
DRAGON QUEST I & II HD-2D Remake,Steam,https://image.directg.net/upload/product/goods_1748841424_simg.jpg,"\69,800",할인 없음,"\69,800",시뮬레이션,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005451
Sonic Racing: CrossWorlds,Steam,https://image.directg.net/upload/product/goods_1752557170_simg.jpg,"\79,800",10%,"\71,800",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005572
Sonic Racing: CrossWorlds - Digital Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1752557403_simg.jpg,"\99,800",10%,"\89,800",레이싱/스포츠,전체 이용가,,,https://directg.net/game/game_page.html?product_code=50005573
SILENT HILL f,Steam,https://image.directg.net/upload/product/goods_1749519118_simg.jpg,"\93,300",9%,"\84,800",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005463
SILENT HILL f - Digital Deluxe,Steam,https://image.directg.net/upload/product/goods_1749519206_simg.jpg,"\106,700",9%,"\96,800",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005464
Borderlands 4,Steam,https://image.directg.net/upload/product/goods_1750643689_simg.jpg,"\84,800",12%,"\74,800",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005514
Borderlands 4 Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1750644274_simg.jpg,"\119,800",13%,"\104,800",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005515
Borderlands 4 Super Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1750644393_simg.jpg,"\154,900",13%,"\134,800",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005516
Hell is Us,Steam,https://image.directg.net/upload/product/goods_1750732058_simg.jpg,"\53,000",17%,"\44,000",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005523
Hell is Us - Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1750732356_simg.jpg,"\73,500",17%,"\61,000",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005524
DAEMON X MACHINA TITANIC SCION,Steam,https://image.directg.net/upload/product/goods_1751268142_simg.jpg,"\75,800",8%,"\69,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005540
DAEMON X MACHINA TITANIC SCION Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1751268252_simg.jpg,"\102,800",8%,"\94,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005541
DAEMON X MACHINA TITANIC SCION Premium Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1751268353_simg.jpg,"\119,800",8%,"\109,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005542
Lost Soul Aside,Steam,https://image.directg.net/upload/product/goods_1749449279_simg.jpg,"\69,800",7%,"\64,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005460
Lost Soul Aside Digital Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1749449283_simg.jpg,"\79,800",8%,"\73,800",액션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005461
SHINOBI: Art of Vengeance,Steam,https://image.directg.net/upload/product/goods_1741322021_simg.jpg,"\27,800",21%,"\22,000",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005302
SHINOBI: Art of Vengeance Digital Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1741322274_simg.jpg,"\37,800",21%,"\29,800",액션,12세 이용가,,,https://directg.net/game/game_page.html?product_code=50005303
METAL GEAR SOLID Δ: SNAKE EATER,Steam,https://image.directg.net/upload/product/goods_1741138849_simg.jpg,"\89,500",11%,"\79,800",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005294
METAL GEAR SOLID Δ: SNAKE EATER Digital Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1741139468_simg.jpg,"\105,500",11%,"\93,800",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005295
Ys X: Proud Nordics,Steam,https://image.directg.net/upload/product/goods_1749451482_simg.jpg,"\85,900",10%,"\77,300",액션/RPG,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005462
Mafia: The Old Country,Steam,https://image.directg.net/upload/product/goods_1746763850_simg.jpg,"\60,800",16%,"\51,000",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005406
Mafia: The Old Country Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1746764738_simg.jpg,"\72,500",16%,"\61,000",액션/어드벤쳐,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005407
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2,Steam,https://image.directg.net/upload/product/goods_1750997233_simg.jpg,"\69,800",9%,"\63,800",액션/어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005356
Demon Slayer -Kimetsu no Yaiba- The Hinokami Chronicles 2 Deluxe Edition,Steam,https://image.directg.net/upload/product/goods_1750997263_simg.jpg,"\79,800",9%,"\72,800",액션/어드벤쳐,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005357
Tales of the Shire: A The Lord of The Rings Game,Steam,https://image.directg.net/upload/product/goods_1753320057_simg.jpg,"\39,500",16%,"\33,000",시뮬레이션,15세 이용가,,,https://directg.net/game/game_page.html?product_code=50005615
Dead by Daylight: The Walking Dead,Steam,https://directg.net/upload/product/goods_1753842242_simg.jpg,"\8,500",할인 없음,"\8,500",액션,19세 이용가,,,https://directg.net/game/game_page.html?product_code=50005636
