게임 이름,원가,할인가,사이트 URL,할인율,유저리뷰수,플랫폼 이름,이미지 URL,장르,연령 등급
Dead by Daylight,24900,9960,https://store.epicgames.com/ko/p/dead-by-daylight,-60,0,Epic,https://cdn1.epicgames.com/offer/611482b8586142cda48a0786eb8a127c/EGS_DeadbyDaylight_BehaviourInteractive_S2_1200x1600-a1c30209e3b9fb63144daa9b5670f503?resize=1&w=360&h=480&quality=medium,Action,
Ready or Not,51200,51200,https://store.epicgames.com/ko/p/ready-or-not-d82a11,0,0,Epic,https://cdn1.epicgames.com/spt-assets/e2c3bc6771dc4524a4730b379f8242c7/ready-or-not-23qyn.png?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Indie",
PEAK,20400,8160,https://store.epicgames.com/ko/p/bonfire-peaks,-60,0,Epic,https://cdn1.epicgames.com/salesEvent/salesEvent/EGS_BonfirePeaks_CoreyMartin_S2_1200x1600-f04df39b0bb02e3b2b3db8182d4a9b63?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Indie",
Dead by Daylight: The Walking Dead,8500,8500,https://store.epicgames.com/ko/p/dead-by-daylight-dead-by-daylight-the-walking-dead-9bde5b,0,0,Epic,https://cdn1.epicgames.com/spt-assets/2b2299be8ae84d679d4dc57c55af1510/dead-by-daylight-13t36.jpg?resize=1&w=360&h=480&quality=medium,Action,
RimWorld,37500,37500,https://store.epicgames.com/ko/p/rimworld,0,0,Epic,https://cdn1.epicgames.com/offer/7051eadbb8c2435caf32a9bc0dc17936/Rimworldtall_1200x1600-925e05c88fe8312deeb656e296adac64?resize=1&w=360&h=480&quality=medium,"Indie, Simulation, Strategy",15
Kingdom Come: Deliverance II,60800,60800,https://store.epicgames.com/ko/p/kingdom-come-deliverance-2-664783,0,0,Epic,https://cdn1.epicgames.com/spt-assets/a7641d724f1242db95f8f72fc0fd8d81/kingdom-come-deliverance-2-14rqo.png?resize=1&w=360&h=480&quality=medium,"Action, Adventure, RPG",
"Warhammer 40,000: Space Marine 2",69800,69800,https://store.epicgames.com/ko/p/warhammer-40000-space-marine-2,0,0,Epic,https://cdn1.epicgames.com/offer/f640a0c1648147fea7e81565b45a3003/EGS_Warhammer40000SpaceMarine2_SaberInteractive_S2_1200x1600-8b8777b3ce0c530a00af7bf8efda793b?resize=1&w=360&h=480&quality=medium,"Action, Adventure, RPG",19
EA SPORTS FC™ 26,80000,80000,https://store.epicgames.com/ko/p/ea-sports-fc-26,0,0,Epic,https://cdn1.epicgames.com/offer/1d4d85b1051e41ee8f1a099e99d59f3f/EGS_EASPORTSFC26StandardEdition_EACANADA_S2_1200x1600-effee280c00b9890a0c5249d4b0e5c97?resize=1&w=360&h=480&quality=medium,"Simulation, Sports",ALL
Borderlands 4,84800,84800,https://store.epicgames.com/ko/p/borderlands-4,0,0,Epic,https://cdn1.epicgames.com/spt-assets/20d989fc07a447b2af3c59e4fd5f49c7/borderlands-4-fnnpo.jpg?resize=1&w=360&h=480&quality=medium,"Action, Adventure, RPG",19
ELDEN RING,16900,16900,https://store.epicgames.com/ko/p/for-honor--lawbringer-hero-skin,0,0,Epic,https://cdn1.epicgames.com/offer/sundrop/EGST_StorePortrait_1200x1600_1200x1600-0952b1644875689685773417265aef01?resize=1&w=360&h=480&quality=medium,"Action, RPG",
Grand Theft Auto V Enhanced,36790,18390,https://store.epicgames.com/ko/p/grand-theft-auto-v,-50,0,Epic,https://cdn1.epicgames.com/offer/b0cd075465c44f87be3b505ac04a2e46/GTAV_CHARM_Epic_FirstParty_PortraitFOB_1200x1600_R02_1200x1600-a5528b33df876e64f5dee728830c80a3?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Racing",
RimWorld - Odyssey,27000,27000,https://store.epicgames.com/ko/p/rimworld-rimworld-odyssey-81dd1a,0,0,Epic,https://cdn1.epicgames.com/spt-assets/f39371235a0f429d9d33b76a9bfa8916/rimworld-77p45.png?resize=1&w=360&h=480&quality=medium,"Indie, Simulation, Strategy",15
CarX Street,1000,1000,https://store.epicgames.com/ko/p/carx-drift-racing-online-carx-drift-racing-online-street-class-sticker-pack-b8a3ba,0,0,Epic,https://cdn1.epicgames.com/spt-assets/bec1ce3db2e44f21a7f18cc10efaaca9/carx-drift-racing-online-nqo4h.png?resize=1&w=360&h=480&quality=medium,"Massively Multiplayer, Racing, Simulation, Sports",
Rust,1000,1000,https://store.epicgames.com/ko/p/the-rusty-sword-vanguard-island-704cbe,0,0,Epic,https://cdn1.epicgames.com/spt-assets/17721f4fe38744b09982f067ba627b05/the-rusty-sword-vanguard-island-1lltq.png?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Indie, Massively Multiplayer, RPG",18
WUCHANG: Fallen Feathers,59800,59800,https://store.epicgames.com/ko/p/wuchang-fallen-feathers-b73462,0,0,Epic,https://cdn1.epicgames.com/spt-assets/61237a4bad9f482a9ad1a1ac74520bba/wuchang-fallen-feathers-1qgip.jpg?resize=1&w=360&h=480&quality=medium,"Action, Adventure, RPG",19
Red Dead Redemption,73000,18250,https://store.epicgames.com/ko/p/red-dead-redemption-2,-75,0,Epic,https://cdn1.epicgames.com/epic/offer/RDR2PC1227_Epic Games_860x1148-860x1148-b4c2210ee0c3c3b843a8de399bfe7f5c.jpg?resize=1&w=360&h=480&quality=medium,Action,
Riders Republic,45500,11370,https://store.epicgames.com/ko/p/riders-republic,-75,0,Epic,https://cdn1.epicgames.com/salesEvent/salesEvent/EN_MAD_STD_GAME_EPIC_Store_Portrait_1200x1600_EN_1200x1600-ddd4f456e3035ce50ddfa0d358efa208?resize=1&w=360&h=480&quality=medium,"Massively Multiplayer, Sports",12
The Elder Scrolls V: Skyrim Special Edition,44990,11240,https://store.epicgames.com/ko/p/skyrim,-75,0,Epic,https://cdn1.epicgames.com/offer/c8738a4d1ead40368eab9688b3c7d737/EGS_SkyrimSpecialEdition_BethesdaGameStudios_S2_1200x1600-ae5d13f6510e81460fe80aa1ca19cf4c?resize=1&w=360&h=480&quality=medium,RPG,
The Elder Scrolls® Online,27800,27800,https://store.epicgames.com/ko/p/the-elder-scrolls-online--3000-crowns,0,0,Epic,https://cdn1.epicgames.com/offer/27aa2ebdcda14b3bb8a669aab73ca55f/EGS_TheElderScrollsOnline3000Crowns_ZeniMaxOnlineStudios_Packs_S2_1200x1600-656bed0ac2027c1f15f82d9ece1273b0?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Massively Multiplayer, RPG",
Avatar: Frontiers of Pandora™,125000,37500,https://store.epicgames.com/ko/p/avatar-frontiers-of-pandora--gold-edition,-70,0,Epic,https://cdn1.epicgames.com/offer/eca39884bdf14f65af242a8e3ff5b2d9/EGST_StorePortrait_1200x1600_1200x1600-62f8521daaa1bf079863a3e271d41c4f?resize=1&w=360&h=480&quality=medium,"Action, Adventure",15
Fallout 4,22000,8800,https://store.epicgames.com/ko/p/fallout-4,-60,0,Epic,https://cdn1.epicgames.com/offer/9c1a74145a9145ec803d7452e80819a0/EGS_Fallout4_BethesdaGameStudios_S2_1200x1600-2b307b78180f2a6a2dc89ab1c20b3c1b?resize=1&w=360&h=480&quality=medium,RPG,
Destiny 2: The Edge of Fate,44500,44500,https://store.epicgames.com/ko/p/destiny-2--the-edge-of-fate,0,0,Epic,https://cdn1.epicgames.com/offer/428115def4ca4deea9d69c99c5a5a99e/ko_Bungie_D2_TEoF_StorefrontPortrait_S4_1200x1600_1200x1600-9e581c7b4ae66d428bf7ff5837aae862?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Free To Play",15
Farming Simulator 25,33000,33000,https://store.epicgames.com/ko/p/farming-simulator-22,0,0,Epic,https://cdn1.epicgames.com/salesEvent/salesEvent/725818d8-9768-4a6a-a723-3039aaee1e23_1200x1600-3b6116d3fc1b566b71251d04bce27938?resize=1&w=360&h=480&quality=medium,Simulation,ALL
FATAL FURY: City of the Wolves,69800,41880,https://store.epicgames.com/ko/p/garou-city-of-the-wolves-556c5a,-40,0,Epic,https://cdn1.epicgames.com/spt-assets/ae53204637354f019489f0148c950ce1/garou-city-of-the-wolves-kucjz.jpg?resize=1&w=360&h=480&quality=medium,Action,
DOOM Eternal,44500,11120,https://store.epicgames.com/ko/p/doom-eternal--deluxe-edition,-75,0,Epic,https://cdn1.epicgames.com/offer/b5ac16dc12f3478e99dcfea07c13865c/EGS_DOOMEternal_idSoftware_S2_1200x1600-9a018727ccc708b2d98f2a8746c2d377?resize=1&w=360&h=480&quality=medium,Action,18
Red Dead Redemption 2,73000,18250,https://store.epicgames.com/ko/p/red-dead-redemption-2,-75,0,Epic,https://cdn1.epicgames.com/epic/offer/RDR2PC1227_Epic Games_860x1148-860x1148-b4c2210ee0c3c3b843a8de399bfe7f5c.jpg?resize=1&w=360&h=480&quality=medium,"Action, Adventure",18
Arma 3,4100,4100,https://store.epicgames.com/ko/p/payday-3--houston-breakout-weapon-pack,0,0,Epic,https://cdn1.epicgames.com/offer/8962863aee2f4e7483fc37d4719c3f69/EGS_PAYDAY3HoustonBreakoutWeaponPack_StarbreezeStudios_DLC_S2_1200x1600-76d3aacbd7e08c9a6914df7920f119de?resize=1&w=360&h=480&quality=medium,"Action, Simulation, Strategy",
Sid Meier's Civilization VII,83000,83000,https://store.epicgames.com/ko/p/sid-meiers-civilization-vii,0,0,Epic,https://cdn1.epicgames.com/offer/eb9cdf6dbe4b47fc8ba474017023476a/STANDART--METADATA-PRODUCT_OFFER_PORTRAIT_IMAGE-STATIC-ENUS-NO_RATING-EPIC-1200X1600-QA_1200x1600-7a2a0b7697c6355fed8da2a407ff17b2?resize=1&w=360&h=480&quality=medium,"Simulation, Strategy",
Stellaris,4500,2250,https://store.epicgames.com/ko/p/surviving-mars--surviving-mars-stellaris-dome-set,-50,0,Epic,https://cdn1.epicgames.com/d759128018124dcabb1fbee9bb28e178/offer/Wishlist_Portrait_SurvivingMars_StellarisDomeSet-860x1148-2257c8b6e47dcba8e661ae8ff13a8f31.png?resize=1&w=360&h=480&quality=medium,"Simulation, Strategy",
Satisfactory,42000,29400,https://store.epicgames.com/ko/p/satisfactory,-30,0,Epic,https://cdn1.epicgames.com/offer/crab/EGS_Satisfactory_CoffeeStainStudios_S2_1200x1600-8a389a525cee6928c427b4a99563e282?resize=1&w=360&h=480&quality=medium,"Adventure, Indie, Simulation, Strategy",
Ready or Not: Dark Waters,10200,10200,https://store.epicgames.com/ko/p/ready-or-not-ready-or-not-dark-waters-0f24ae,0,0,Epic,https://cdn1.epicgames.com/spt-assets/e2c3bc6771dc4524a4730b379f8242c7/ready-or-not-39kh2.jpg?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Indie",
Borderlands 3,64900,64900,https://store.epicgames.com/ko/p/borderlands-3,0,0,Epic,https://cdn1.epicgames.com/offer/catnip/EGS_Borderlands3_Takeover_Mobile-560x760-58be14c3e086e3a85bedcc21c08ab5cb-560x760-58be14c3e086e3a85bedcc21c08ab5cbjpg_560x760-58be14c3e086e3a85bedcc21c08ab5cb?resize=1&w=360&h=480&quality=medium,"Action, RPG",18
Ready or Not: Home Invasion,10200,10200,https://store.epicgames.com/ko/p/ready-or-not-ready-or-not-home-invasion-9df6e0,0,0,Epic,https://cdn1.epicgames.com/spt-assets/e2c3bc6771dc4524a4730b379f8242c7/ready-or-not-1dkyt.jpg?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Indie",
Total War: WARHAMMER III,25000,12500,https://store.epicgames.com/ko/p/total-war-warhammer-3--forge-of-the-chaos-dwarfs,-50,0,Epic,https://cdn1.epicgames.com/offer/dda64c2956b54f1ba3cd97f6aaee775f/EGS_TotalWarWARHAMMERIIIForgeoftheChaosDwar_SEGA_DLC_S2_1200x1600-4a87fadccf67e800f26028d1fec0130e?resize=1&w=360&h=480&quality=medium,"Action, Strategy",
OCTOPATH TRAVELER™,59800,23920,https://store.epicgames.com/ko/p/octopath-traveler,-60,0,Epic,https://cdn1.epicgames.com/1c4745021d4243a783b459d928b9088f/offer/EGS_OCTOPATHTRAVELER_SquareEnixACQUIRECorp_S6-1200x1600-b9743674fc7c7d858f7fc127854d5e1b.jpg?resize=1&w=360&h=480&quality=medium,RPG,12
Marvel's Spider-Man 2,62800,50240,https://store.epicgames.com/ko/p/marvels-spider-man-2,-20,0,Epic,https://cdn1.epicgames.com/offer/b2818b59c0bb420e9647983dfd254931/EGS_Octopus_InsomniacGamesNixxesSoftware_S2_1200x1600-5831c61378872a1fe233b295fbf3140f?resize=1&w=360&h=480&quality=medium,"Action, Adventure",15
ARK: Survival Evolved,15300,15300,https://store.epicgames.com/ko/p/ark,0,0,Epic,https://cdn1.epicgames.com/ark/offer/EGS_ARKSurvivalEvolved_StudioWildcard_S2-1200x1600-5b58fdefea9f885c7426e894a1034921.jpg?resize=1&w=360&h=480&quality=medium,"Action, Adventure, Indie, Massively Multiplayer, RPG",
Overcooked! 2,26000,6500,https://store.epicgames.com/ko/p/overcooked-2,-75,0,Epic,https://cdn1.epicgames.com/salesEvent/salesEvent/egs-overcooked2-tall_1200x1600-fbae89fad70c05cd1979316f620e64a9?resize=1&w=360&h=480&quality=medium,"Action, Casual, Indie",
Terminator: Dark Fate - Defiance,40900,40900,https://store.epicgames.com/ko/p/terminator-dark-fate-f3fcaa,0,0,Epic,https://cdn1.epicgames.com/spt-assets/6bd4b5bc81504f02beea58496cc91993/terminator-dark-fate-54ckg.jpg?resize=1&w=360&h=480&quality=medium,Strategy,
theHunter: Call of the Wild™,20500,20500,https://store.epicgames.com/ko/p/thehunter-call-of-the-wild,0,0,Epic,https://cdn1.epicgames.com/salesEvent/salesEvent/EGS_theHunterCalloftheWild_ExpansiveWorlds_S2_1200x1600-1e9b46aaabc33fe0a08cf5b418e76ba2?resize=1&w=360&h=480&quality=medium,"Adventure, Simulation, Sports",
RIDE 5,3500,870,https://store.epicgames.com/ko/p/ride-5--welcome-pack,-75,0,Epic,https://cdn1.epicgames.com/offer/82aa77fde0b14916a86b66b1e6345c30/EGS_RIDE5WelcomePack_MilestoneSrl_DLC_S2_1200x1600-65e208d3e43afcf454fbdad8d70c1623?resize=1&w=360&h=480&quality=medium,"Racing, Simulation, Sports",
Cities: Skylines II,26000,16900,https://store.epicgames.com/ko/p/cities-skylines--world-tour-bundle-2,-35,0,Epic,https://cdn1.epicgames.com/offer/6009be9994c2409099588cde6f3a5ed0/EGS_CitiesSkylinesWorldTourBundle2_ColossalOrder_Bundles_S2_1200x1600-92eda88b726c5bd7f88c3472e1276799?resize=1&w=360&h=480&quality=medium,Simulation,ALL
